UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD9,NEG_M9,FORCIB9,NONFOR9,ROBBE9,AGG_A9,BURGLA9,VEHIC9,ARSON9,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,FILTER09,FILTER10,FILTER11
147536010,National Louis University,Milwaukee Campus,"12000 W. Park Place, Suite 100",Milwaukee,WI,53224,2,"Private nonprofit, 4-year or above",1149,4530,5679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
154493018,Upper Iowa University,UIU - Milwaukee,620 S. 76th St.,Milwaukee,WI,53214,2,"Private nonprofit, 4-year or above",2210,3503,5713,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
167899006,Springfield College,"SHS Milwaukee, WI","744 North 4th St., Suite 300",Milwaukee,WI,53203,2,"Private nonprofit, 4-year or above",1519,1858,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
238193001,Alverno College,Alverno College,3400 S 43RD ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",55,2550,2605,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
238430001,Cardinal Stritch University,Main Campus,6801 N YATES RD,MILWAUKEE,WI,532173985,2,"Private nonprofit, 4-year or above",1743,3615,5358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5,0,0,1,1,1
238616009,Concordia University-Wisconsin,Concordia University Wisconsin-Milw Midtown Center,4151 N. 56th Street,Milwaukee,WI,532169909,2,"Private nonprofit, 4-year or above",2523,5095,7618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
238935001,DeVry University-Wisconsin,Milwaukee Campus,"411 E. Wisconsin Ave., Suite 300",Milwaukee,WI,532024400,3,"Private for-profit, 4-year or above",117,119,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
239105001,Marquette University,Main Campus,1250 W. Wisconsin Ave,Milwaukee,WI,532011881,2,"Private nonprofit, 4-year or above",5847,6155,12002,0,0,2,0,0,0,22,1,0,0,0,3,0,0,1,36,1,1,0,0,9,0,3,4,11,2,0,1,1,1
239169001,Medical College of Wisconsin,Main Campus,8701 WATERTOWN PLANK RD,MILWAUKEE,WI,532260509,2,"Private nonprofit, 4-year or above",644,613,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
239248001,Milwaukee Area Technical College,Milwaukee Campus,700 W STATE STREET,MILWAUKEE,WI,532331443,4,"Public, 2-year",8729,10751,19480,0,0,2,0,0,0,14,1,0,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,1,1
239309001,Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,273 E ERIE ST,MILWAUKEE,WI,53202,2,"Private nonprofit, 4-year or above",275,452,727,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
239318001,Milwaukee School of Engineering,Main Campus,1025 N BROADWAY,MILWAUKEE,WI,532023109,2,"Private nonprofit, 4-year or above",1958,528,2486,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
239390001,Mount Mary College,Main Campus,2900 N. MENOMONEE RIVER PKY,MILWAUKEE,WI,532224597,2,"Private nonprofit, 4-year or above",64,1674,1738,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
239929001,Bryant and Stratton College-Milwaukee,Main Campus,310 W. WISCONSIN AVENUE SUITE 500,MILWAUKEE,WI,532032608,3,"Private for-profit, 4-year or above",253,836,1089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,1
240213001,Wisconsin School of Professional Psychology,Main Campus,9120 W HAMPTON AVE,MILWAUKEE,WI,532254960,2,"Private nonprofit, 4-year or above",15,68,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
240338001,Wisconsin Lutheran College,Main Campus,8800 W BLUEMOUND RD,MILWAUKEE,WI,532264699,2,"Private nonprofit, 4-year or above",468,554,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1
240453001,University of Wisconsin-Milwaukee,Main Campus,PO BOX 413,MILWAUKEE,WI,53211,1,"Public, 4-year or above",13939,15411,29350,0,0,9,0,0,1,21,1,0,0,0,2,0,1,1,14,2,0,0,0,3,0,0,0,39,0,1,1,1,1
436021001,Montessori Institute of Milwaukee,Main Campus,3195 S SUPERIOR ST STE L428,MILWAUKEE,WI,532073074,2,"Private nonprofit, 4-year or above",9,52,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
448655001,Kaplan College-Milwaukee,Main Campus,111 W. Pleasant St-Ste 101,Milwaukee,WI,53212,6,"Private for-profit, 2-year",49,167,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
448798001,Empire Beauty School-Milwaukee,"Milwaukee, WI",5655 South 27th St,Milwaukee,WI,53221,6,"Private for-profit, 2-year",63,221,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
449861001,Milwaukee Career College,Main Campus,3077 N Mayfair Rd Ste 300,Milwaukee,WI,53224,9,"Private for-profit, less-than 2-year",13,78,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
450650001,The Institute of Beauty and Wellness,The Institute of Beauty and Wellness,327 East Saint Paul Avenue,Milwaukee,WI,53202,6,"Private for-profit, 2-year",7,190,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
455415001,Visions in Hair Design Institute of Cosmetology,Main campus,7213 W Burleigh St,Milwaukee,WI,53210,6,"Private for-profit, 2-year",4,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
463621001,Everest College-Milwaukee,Main Campus,1311 North 6th Street,Milwaukee,WI,532124006,9,"Private for-profit, less-than 2-year",125,680,805,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,1
470092001,Art Institute of Wisconsin (The),Main Campus,"320 East Buffalo Street, Suite 100",Milwaukee,WI,532025837,3,"Private for-profit, 4-year or above",138,135,273,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
